championship;matches_played;wins;draws;losses;goals_for;goals_against;goal_difference;league_points;team
2024;21;14;6;1;47;18;29;48;10
2024;20;13;4;3;48;23;25;43;11
2024;21;13;4;4;42;20;22;43;1
2024;21;13;4;4;43;27;16;43;2
2024;21;12;4;5;44;31;13;40;21
2024;21;10;5;6;35;32;3;35;25
2024;21;8;8;5;38;33;5;32;48
2024;21;10;2;9;24;29;-5;32;12
2024;21;9;4;8;35;31;4;31;4
2024;21;9;2;10;41;32;9;29;23
2024;21;8;5;8;30;31;-1;29;38
2024;20;7;4;9;28;39;-11;25;47
2024;21;7;3;11;28;36;-8;24;34
2024;20;6;4;10;29;33;-4;22;50
2024;21;5;6;10;22;34;-12;21;6
2024;21;5;5;11;26;38;-12;20;15
2024;21;8;3;10;24;28;-4;17;7
2024;21;3;3;15;21;42;-21;12;43
2024;21;2;4;15;17;51;-34;10;18
